CEP teff logg vtur Mh dteff dlogg dvtur feh sfeh dfeh nlinesFeI feIIh sfeIIh dfeIIh nlinesFeII merit slope_AbEP slope_AbEWR p2p_EP p2p_EWR oh soh doh nlineso
OGLE1587 5158 0.80 4.00 -0.20 63 0.05 0.26 -0.234 0.142 0.0465 75 -0.237 0.025 0.055 7 2.25 -0.29416E-01 0.14783E+00 5.320 1.00165 0 0 0 0
OGLE1616 5572 0.70 2.90 -0.20 70 0.14 0.09 -0.195 0.118 0.033 100 -0.196 0.145 0.035 16 1.39 -0.20779E-01 -0.26674E-01 6.190 1.08567 -0.027 0.030 0.084 1
OGLE1637 5305 0.30 3.00 -0.10 98 -0.10 0.10 -0.05 0.227 0.0885 76 -0.036 0.028 0.0115 5 3.83 -0.17118E-01 0.52632E+00 5.600 .84623 -0.25 0.040 0.0575 1
OGLE1641 6475 0.90 3.40 -0.20 152 0.11 0.15 -0.184 0.135 0.0965 99 -0.203 0.141 0.0755 15 2.54 -0.39936E-01 -0.10988E-01 5.300 1.08093 -8.69 0.000 0 0
OGLE1647 5974 1.30 3.40 -0.20 95 0.10 0.17 -0.192 0.131 0.071 96 -0.183 0.128 0.0745 15 2.40 -0.30848E-01 -0.12517E-01 5.320 1.07916 0 0 0 0
OGLE1677 6419 0.70 2.80 -0.10 138 0.14 0.16 -0.064 0.165 0.073 91 -0.056 0.183 0.07 14 2.47 -0.48167E-01 0.24491E-01 6.210 1.05098 0.43 0.040 0.138 1
OGLE1862 5282 0.80 3.30 -0.30 65 0.07 0.17 -0.315 0.137 0.0435 100 -0.324 0.073 0.0445 15 2.01 -0.22974E-01 -0.18786E-01 5.600 1.00609 -0.196 0.030 0.0945 1
OGLE1939 5745 1.30 3.30 -0.30 210 0.11 0.13 -0.274 0.125 0.125 72 -0.287 0.124 0.0965 13 2.03 -0.27508E-01 0.25769E-01 5.320 .67364 0 0 0 0
OGLE1941 5451 1.20 3.90 -0.30 89 0.05 0.14 -0.272 0.119 0.0635 99 -0.293 0.053 0.0495 14 1.39 -0.11407E-01 -0.58196E-02 5.620 1.00496 -0.025 0.086 0.1015 2
OGLE1994 6433 1.00 2.80 -0.30 137 0.11 0.09 -0.29 0.104 0.084 96 -0.285 0.154 0.083 19 0.30 -0.23623E-02 0.76516E-02 5.890 1.06100 0 0 0 0
OGLE2012 5876 1.20 2.80 -0.20 91 0.12 0.08 -0.238 0.114 0.0465 100 -0.233 0.111 0.052 14 3.13 -0.31424E-01 0.13439E-01 5.600 1.07803 -0.043 0.040 0.102 1
OGLE2019 4970 0.60 4.00 -0.20 66 0.10 0.42 -0.186 0.156 0.0585 57 -0.225 0.083 0.0375 6 1.34 0.49693E-02 0.16810E+00 5.320 .89146 0 0 0 0
OGLE2043 5610 1.10 3.40 -0.30 99 0.07 0.11 -0.341 0.098 0.0635 93 -0.371 0.071 0.051 13 2.19 -0.19935E-01 -0.18074E-01 5.320 1.05083 -8.69 0.000 0 0
