CEP teff logg vtur Mh dteff dlogg dvtur feh sfeh dfeh nlinesFeI feIIh sfeIIh dfeIIh nlinesFeII merit slope_AbEP slope_AbEWR p2p_EP p2p_EWR oh soh doh nlineso
OGLE1578 5600 1.00 3.90 -0.30 99 0.10 0.17 -0.301 0.108 0.0615 78 -0.295 0.124 0.0665 11 0.37 -0.92576E-03 0.19682E-01 5.320 1.04506 0 0 0 0
OGLE1587 5090 0.60 4.00 -0.30 63 0.05 0.31 -0.287 0.132 0.053 68 -0.318 0.029 0.0245 7 1.86 -0.21567E-02 0.13719E+00 5.320 .82474 0 0 0 0
OGLE1616 5420 0.40 2.80 -0.30 70 0.14 0.08 -0.266 0.108 0.0445 96 -0.271 0.141 0.0415 16 0.27 -0.37022E-02 0.24158E-02 6.190 1.08567 -0.217 0.030 0.0845 1
OGLE1637 5160 0.30 4.00 -0.40 98 0.06 0.30 -0.348 0.123 0.0785 69 -0.352 0.044 0.064 6 2.99 -0.26626E-02 0.21184E+00 5.600 .89002 -0.395 0.040 0.1125 1
OGLE1641 6150 0.40 3.20 -0.30 152 0.12 0.12 -0.34 0.102 0.097 89 -0.374 0.151 0.0725 15 0.74 0.88163E-04 -0.31984E-02 5.300 1.08093 -8.69 0.000 0 0
OGLE1647 5790 1.00 3.60 -0.30 95 0.08 0.11 -0.329 0.108 0.066 89 -0.325 0.100 0.059 14 0.27 0.25574E-02 -0.47097E-02 5.320 1.07916 0 0 0 0
OGLE1677 6050 0.20 3.00 -0.30 138 0.11 0.10 -0.307 0.119 0.0835 85 -0.308 0.139 0.0775 14 0.20 0.94523E-03 0.10877E-01 6.210 1.07514 0.063 0.040 0.1435 1
OGLE1862 5170 0.60 3.10 -0.30 65 0.07 0.10 -0.357 0.087 0.042 85 -0.342 0.086 0.061 15 0.68 0.24341E-03 0.25963E-01 5.600 1.00609 -0.308 0.030 0.113 1
OGLE1939 5550 0.90 3.10 -0.40 210 0.11 0.07 -0.369 0.074 0.133 58 -0.397 0.143 0.1195 13 0.64 0.61732E-03 -0.29187E-03 5.320 .65294 0 0 0 0
OGLE1941 5420 1.20 3.40 -0.20 89 0.08 0.10 -0.217 0.088 0.0635 87 -0.218 0.078 0.047 13 0.06 0.39787E-03 -0.17522E-02 5.620 .97318 0.003 0.095 0.101 2
OGLE1994 6420 0.90 2.80 -0.30 137 0.11 0.08 -0.289 0.099 0.0795 93 -0.324 0.144 0.0605 18 0.96 -0.13366E-02 0.19613E-01 5.890 1.06100 0 0 0 0
OGLE2012 5660 0.80 2.80 -0.40 91 0.08 0.08 -0.377 0.106 0.05 98 -0.367 0.091 0.0495 14 0.70 -0.17355E-02 0.30316E-01 5.600 1.07773 -0.313 0.040 0.103 1
OGLE2019 5030 0.70 4.00 -0.10 66 0.15 0.49 -0.127 0.148 0.0575 52 -0.129 0.113 0.0495 7 0.36 -0.12062E-02 0.71534E-01 5.320 .68090 0 0 0 0
OGLE2043 5460 0.80 3.10 -0.40 99 0.07 0.08 -0.413 0.084 0.0645 86 -0.414 0.087 0.0465 13 0.06 -0.45211E-03 0.14172E-02 5.320 1.05083 -8.69 0.000 0 0
